PlantID,Plant_Species,Alive,Dead,Treatment
Control-1-1A,Aristida stricta,0.3,0.6,Control
Control-1-1A,Aristida stricta,0.3,0.6,Control
Control-1-1B,Aristida stricta,0.2,0.8,Control
Control-1-1B,Aristida stricta,0.2,0.8,Control
Control-1-2A,Aristida stricta,0.9,0.6,Control
Control-1-2A,Aristida stricta,1,0.9,Control
Control-1-2B,Aristida stricta,,0.7,Control
Control-1-2B,Aristida stricta,,0.6,Control
Control-1-3A,Andropogon gerardii,0.07,0.04,Control
Control-1-3A,Andropogon gerardii,0.06,0.04,Control
Control-1-3B,Andropogon gerardii,0.5,0.14,Control
Control-1-3B,Andropogon gerardii,0.5,0.13,Control
Control-1-6A,Andropogon gerardii,0.46,0.13,Control
Control-1-6A,Andropogon gerardii,0.48,0.1,Control
Control-1-6B,Andropogon gerardii,0.3,0.05,Control
Control-1-6B,Andropogon gerardii,0.32,0.03,Control
Control-1-7A,Sorghastrum nutans,,0.3,Control
Control-1-7B,Sorghastrum nutans,0.01,0.4,Control
Control-1-8A,Sorghastrum nutans,,0.2,Control
Control-1-8B,Sorghastrum nutans,0.1,0.4,Control
Control-2-1A,Aristida stricta,0.1,0.4,Control
Control-2-1A,Aristida stricta,0.07,0.39,Control
Control-2-1B,Aristida stricta,0.09,0.4,Control
Control-2-1B,Aristida stricta,0.1,0.52,Control
Control-2-2A,Aristida stricta,0.03,0.17,Control
Control-2-2A,Aristida stricta,0.03,0.16,Control
Control-2-2B,Aristida stricta,0.19,0.64,Control
Control-2-2B,Aristida stricta,0.19,0.66,Control
Control-2-3A,Andropogon gerardii,0.39,0.18,Control
Control-2-3B,Andropogon gerardii,0.22,0.1,Control
Control-2-6A,Andropogon gerardii,0.77,0.54,Control
Control-2-6B,Andropogon gerardii,0.13,0.08,Control
Control-2-7A,Sorghastrum nutans,0.01,0.2,Control
Control-2-7B,Sorghastrum nutans,0.3,0.2,Control
Control-2-8A,Sorghastrum nutans,0.3,0.3,Control
Control-2-8B,Sorghastrum nutans,,0.2,Control
Control-3-1A,Aristida stricta,0.36,0.96,Control
Control-3-1B,Aristida stricta,0.09,0.3,Control
Control-3-2A,Aristida stricta,0.04,0.44,Control
Control-3-2A,Aristida stricta,0.03,0.4,Control
Control-3-2B,Aristida stricta,0.92,0.77,Control
Control-3-2B,Aristida stricta,0.9,0.6,Control
Control-3-3A,Andropogon gerardii,0.48,0.21,Control
Control-3-3B,Andropogon gerardii,0.1,0.01,Control
Control-3-4A,Schizachyrium scoparium,0.05,0.66,Control
Control-3-4B,Schizachyrium scoparium,0.12,0.3,Control
Control-3-5A,Schizachyrium scoparium,0.36,0.29,Control
Control-3-5B,Schizachyrium scoparium,0.06,0.21,Control
Control-3-6A,Andropogon gerardii,0.7,0.3,Control
Control-3-6B,Andropogon gerardii,1,0.01,Control
Control-3-7A,Sorghastrum nutans,,0.04,Control
Control-3-7B,Sorghastrum nutans,,0.1,Control
Control-3-8A,Sorghastrum nutans,0.16,0.22,Control
Control-3-8B,Sorghastrum nutans,,0.18,Control
Control-4-1A,Aristida stricta,0.4,1,Control
Control-4-1A,Aristida stricta,0.5,1,Control
Control-4-1B,Aristida stricta,1.4,0.9,Control
Control-4-1B,Aristida stricta,1.3,1,Control
Control-4-2A,Aristida stricta,0.08,0.8,Control
Control-4-2B,Aristida stricta,0.3,0.4,Control
Control-4-3A,Andropogon gerardii,0.6,0.5,Control
Control-4-3B,Andropogon gerardii,0.6,1,Control
Control-4-4A,Schizachyrium scoparium,0.3,0.4,Control
Control-4-4B,Schizachyrium scoparium,0.8,0.4,Control
Control-4-5A,Schizachyrium scoparium,0.01,0.3,Control
Control-4-5B,Schizachyrium scoparium,,0.4,Control
Control-4-6A,Andropogon gerardii,0.8,0.7,Control
Control-4-6B,Andropogon gerardii,0.8,0.4,Control
Control-4-7A,Sorghastrum nutans,0.1,0.2,Control
Control-4-7B,Sorghastrum nutans,,0.4,Control
Control-4-8A,Sorghastrum nutans,0.1,0.3,Control
Control-4-8B,Sorghastrum nutans,,0.4,Control
Control-5-1A,Aristida stricta,0.08,0.3,Control
Control-5-1B,Aristida stricta,0.3,0.6,Control
Control-5-2A,Aristida stricta,,0.4,Control
Control-5-2B,Aristida stricta,0.06,0.5,Control
Control-5-4A,Schizachyrium scoparium,0.25,0.72,Control
Control-5-4B,Schizachyrium scoparium,0.44,1.14,Control
