PlantID,LA,Treatment,Plant_Species
Control-1-3A,6.38,Control,Andropogon gerardii
Control-1-3B,14.52,Control,Andropogon gerardii
Control-1-6A,10.03,Control,Andropogon gerardii
Control-1-6B,5.12,Control,Andropogon gerardii
Control-2-3A,9.37,Control,Andropogon gerardii
Control-2-3B,3.45,Control,Andropogon gerardii
Control-2-6A,7.2,Control,Andropogon gerardii
Control-2-6B,4.44,Control,Andropogon gerardii
Control-3-3A,7.65,Control,Andropogon gerardii
Control-3-3B,4.76,Control,Andropogon gerardii
Control-3-6A,3.49,Control,Andropogon gerardii
Control-3-6B,9.73,Control,Andropogon gerardii
Control-4-3A,13.16,Control,Andropogon gerardii
Control-4-3B,17.1,Control,Andropogon gerardii
Control-4-6A,6.94,Control,Andropogon gerardii
Control-4-6B,7.94,Control,Andropogon gerardii
Control-5-3B,11.06,Control,Andropogon gerardii
Control-5-6A ,5.78,Control,Andropogon gerardii
Control-5-6B,7.01,Control,Andropogon gerardii
Control-6-3A,6.27,Control,Andropogon gerardii
Control-6-3B,10.22,Control,Andropogon gerardii
Control-6-6A,9.79,Control,Andropogon gerardii
Control-6-6B,9.37,Control,Andropogon gerardii
Heatwave-1-3B,12.27,Heatwave,Andropogon gerardii
Heatwave-1-6A,5.94,Heatwave,Andropogon gerardii
Heatwave-1-6B,18.53,Heatwave,Andropogon gerardii
Heatwave-2-3A,7.5,Heatwave,Andropogon gerardii
Heatwave-2-3B,2.8,Heatwave,Andropogon gerardii
Heatwave-2-6B,1.42,Heatwave,Andropogon gerardii
Heatwave-3-6B,4.88,Heatwave,Andropogon gerardii
Heatwave-4-3A,11.08,Heatwave,Andropogon gerardii
Heatwave-4-3B,5.63,Heatwave,Andropogon gerardii
Heatwave-4-6A,8.56,Heatwave,Andropogon gerardii
Heatwave-4-6B,6.89,Heatwave,Andropogon gerardii
Heatwave-5-3A,18.6,Heatwave,Andropogon gerardii
Heatwave-5-3B,8.93,Heatwave,Andropogon gerardii
Heatwave-5-5A,8.46,Heatwave,Andropogon gerardii
Heatwave-6-3A,9.46,Heatwave,Andropogon gerardii
Heatwave-6-3B,21.56,Heatwave,Andropogon gerardii
Heatwave-6-6A,8.31,Heatwave,Andropogon gerardii
