Date,Week,Secs,Group,Plant_Species,PlantID,Treatment ,Replicate,LA
3/18/2020,10,1_2,1,Aristida stricta,Control-1-1A,Control,1A,2.9
3/18/2020,10,1_2,1,Aristida stricta,Control-1-1B,Control,1B,2.11
3/18/2020,10,1_2,1,Aristida stricta,Control-1-2A,Control,2A,3.49
3/18/2020,10,1_2,1,Aristida stricta,Control-1-2B,Control,2B,1.45
3/18/2020,10,1_2,1,Aristida stricta,Heatwave-1-1A,Heatwave,1A,2.19
3/18/2020,10,1_2,1,Aristida stricta,Heatwave-1-1B,Heatwave,1B,2.18
3/18/2020,10,1_2,1,Aristida stricta,Heatwave-1-2A,Heatwave,2A,2.56
3/18/2020,10,1_2,1,Aristida stricta,Heatwave-1-2B,Heatwave,2B,2.14
3/18/2020,10,1_2,2,Aristida stricta,Control-2-1A,Control,1A,2.35
3/18/2020,10,1_2,2,Aristida stricta,Control-2-1B,Control,1B,1.97
3/18/2020,10,1_2,2,Aristida stricta,Control-2-2A,Control,2A,2.47
3/18/2020,10,1_2,2,Aristida stricta,Control-2-2B,Control,2B,3.94
3/18/2020,10,1_2,2,Aristida stricta,Heatwave-2-1A,Heatwave,1A,1.54
3/18/2020,10,1_2,2,Aristida stricta,Heatwave-2-1B,Heatwave,1B,3.45
3/18/2020,10,1_2,2,Aristida stricta,Heatwave-2-2A,Heatwave,2A,1.38
3/18/2020,10,1_2,2,Aristida stricta,Heatwave-2-2B,Heatwave,2B,1.52
3/18/2020,10,1_2,3,Aristida stricta,Control-3-1A,Control,1A,3.22
3/18/2020,10,1_2,3,Aristida stricta,Control-3-1B,Control,1B,3.78
3/18/2020,10,1_2,3,Aristida stricta,Control-3-2A,Control,2A,5.91
3/18/2020,10,1_2,3,Aristida stricta,Control-3-2B,Control,2B,4.26
3/18/2020,10,1_2,3,Aristida stricta,Heatwave-3-1A,Heatwave,1A,1.22
3/18/2020,10,1_2,3,Aristida stricta,Heatwave-3-1B,Heatwave,1B,0.45
3/18/2020,10,1_2,3,Aristida stricta,Heatwave-3-2A,Heatwave,2A,0.6
3/18/2020,10,1_2,3,Aristida stricta,Heatwave-3-2B,Heatwave,2B,1.75
3/18/2020,10,1_2,4,Aristida stricta,Control-4-1A,Control,1A,3.17
3/18/2020,10,1_2,4,Aristida stricta,Control-4-1B,Control,1B,3.31
3/18/2020,10,1_2,4,Aristida stricta,Control-4-2A,Control,2A,2.58
3/18/2020,10,1_2,4,Aristida stricta,Control-4-2B,Control,2B,1.48
3/18/2020,10,1_2,4,Aristida stricta,Heatwave-4-1A,Heatwave,1A,2
3/18/2020,10,1_2,4,Aristida stricta,Heatwave-4-1B,Heatwave,1B,1.05
3/18/2020,10,1_2,4,Aristida stricta,Heatwave-4-2A,Heatwave,2A,1.91
3/18/2020,10,1_2,4,Aristida stricta,Heatwave-4-2B,Heatwave,2B,1.45
3/18/2020,10,1_2,5,Aristida stricta,Control-5-1A,Control,1A,2.91
3/18/2020,10,1_2,5,Aristida stricta,Control-5-1B,Control,1B,4.89
3/18/2020,10,1_2,5,Aristida stricta,Control-5-2A,Control,2A,3.55
3/18/2020,10,1_2,5,Aristida stricta,Control-5-2B,Control,2B,2.72
3/18/2020,10,1_2,5,Aristida stricta,Heatwave-5-1A,Heatwave,1A,1.68
3/18/2020,10,1_2,5,Aristida stricta,Heatwave-5-1B,Heatwave,1B,1.42
