Date,Week,Section,Group,Student_Initials,Plant_Species,PlantID,Treatment ,Replicate,Survival,Max_Leaf_Length,Stem_Number,Max_Height,Plant_Stress,Humidity,Light,Air_Temp,Soil_Moisture
1/14/2019,1,1,1,"EW,AN,MH,II",Aristida stricta ,Control-1-1A,Control,1A,A,280,33,255,1,27,7980,27.1,1.7
1/14/2019,1,1,1,"EW,AN,MH,II",Aristida stricta ,Control-1-1B,Control,1B,A,251,27,244,2,27,7980,27.1,1.7
1/14/2019,1,1,1,"EW,AN,MH,II",Aristida stricta ,Heatwave-1-1A,Heatwave,1A,A,264,19,210,1,27,7980,27.1,1.7
1/14/2019,1,1,1,"EW,AN,MH,II",Aristida stricta ,Heatwave-1-1B,Heatwave,1B,A,275,32,267,2,27,7980,27.1,1.7
1/14/2019,1,1,2,"KKB,TN,SS",Aristida stricta ,Control-2-1A,Control,1A,A,285,32,230,1,24,6850,31.2,1.61
1/14/2019,1,1,2,"KKB,TN,SS",Aristida stricta ,Control-2-1B,Control,1B,A,260,23,210,2,24,6850,31.2,1.61
1/14/2019,1,1,2,"KKB,TN,SS",Aristida stricta ,Heatwave-2-1A,Heatwave,1A,A,336,26,270,2,24,6850,31.2,1.61
1/14/2019,1,1,2,"KKB,TN,SS",Aristida stricta ,Heatwave-2-1B,Heatwave,1B,A,270,42,240,2,24,6850,31.2,1.61
1/14/2019,1,1,3,"CB,KR,SB,LT",Aristida stricta ,Control-3-1A,Control,1A,A,385.9,25,290.2,2,23,7910,29.2,2.5
1/14/2019,1,1,3,"CB,KR,SB,LT",Aristida stricta ,Control-3-1B,Control,1B,A,249,15,246,2,23,7910,29.2,2.5
1/14/2019,1,1,3,"CB,KR,SB,LT",Aristida stricta ,Heatwave-3-1A,Heatwave,1A,A,300,33,255,2,23,7910,29.2,2.5
1/14/2019,1,1,3,"CB,KR,SB,LT",Aristida stricta ,Heatwave-3-1B,Heatwave,1B,A,360.6,27,260.1,2,23,7910,29.2,2.5
1/14/2019,1,1,4,"J,O",Aristida stricta ,Control-4-1A,Control,1A,A,300,25,270,1,,5700,25,2.8
1/14/2019,1,1,4,"J,O",Aristida stricta ,Control-4-1B,Control,1B,A,440,18,270,1,,5700,25,2.8
1/14/2019,1,1,4,"J,O",Aristida stricta ,Heatwave-4-1A,Heatwave,1A,A,220,10,220,2,,5700,25,2.8
1/14/2019,1,1,4,"J,O",Aristida stricta ,Heatwave-4-1B,Heatwave,1B,A,290,11,260,1,,5700,25,2.8
1/14/2019,1,1,5,"J,J",Aristida stricta,Control-5-1A,Control,1A,A,360,11,240,2,,6280,28.2,0.2
