Date,Week,Section,Secs,Group,Student_Initials,Plant_Species,PlantID,Treatment ,Replicate,Survival,Max_Leaf_Length,Stem_Number,Max_Height,Plant_Stress,Humidity,Light,Air_Temp,Soil_Moisture
1/13/2020,1,1,1_2,1,all,Aristida stricta,Control-1-1A,Control,1A,A,245,45,240,2,63,999,22,1.8
1/13/2020,1,1,1_2,1,all,Aristida stricta,Control-1-1B,Control,1B,A,230,11,200,2,63,999,22,1.8
1/13/2020,1,1,1_2,1,all,Aristida stricta,Heatwave-1-1A,Heatwave,1A,A,295,14,275,2,63,999,22,1.8
1/13/2020,1,1,1_2,1,all,Aristida stricta,Heatwave-1-1B,Heatwave,1B,A,270,16,260,2,63,999,22,1.8
1/13/2020,1,2,1_2,1,all,Aristida stricta,Control-1-2A,Control,2A,A,231,19,260,1,74,1446,21,1.3
1/13/2020,1,2,1_2,1,all,Aristida stricta,Control-1-2B,Control,2B,A,305,22,260,2,74,1446,21,1.3
1/13/2020,1,2,1_2,1,all,Aristida stricta,Heatwave-1-2A,Heatwave,2A,A,296,18,230,2,74,1446,21,1.3
1/13/2020,1,2,1_2,1,all,Aristida stricta,Heatwave-1-2B,Heatwave,2B,A,225,21,215,2,74,1446,21,1.3
1/13/2020,1,1,1_2,2,all,Aristida stricta,Control-2-1A,Control,1A,A,225,16,202,2,63,1090,22,1.8
1/13/2020,1,1,1_2,2,all,Aristida stricta,Control-2-1B,Control,1B,A,252,18,245,2,63,1090,22,1.8
1/13/2020,1,1,1_2,2,all,Aristida stricta,Heatwave-2-1A,Heatwave,1A,A,355,15,340,2,63,1090,22,1.8
1/13/2020,1,1,1_2,2,all,Aristida stricta,Heatwave-2-1B,Heatwave,1B,A,230,18,230,2,63,1090,22,1.8
1/13/2020,1,2,1_2,2,all,Aristida stricta,Control-2-2A,Control,2A,A,185,15,80,2,71,1540,22,3.8
1/13/2020,1,2,1_2,2,all,Aristida stricta,Control-2-2B,Control,2B,A,305,19,295,2,71,1540,22,3.8
1/13/2020,1,2,1_2,2,all,Aristida stricta,Heatwave-2-2A,Heatwave,2A,A,172,19,165,1,71,1540,22,3.8
1/13/2020,1,2,1_2,2,all,Aristida stricta,Heatwave-2-2B,Heatwave,2B,A,257,19,260,2,71,1540,22,3.8
1/13/2020,1,1,1_2,3,all,Aristida stricta,Control-3-1A,Control,1A,A,230,15,220,2,67,590,22,3.7
1/13/2020,1,1,1_2,3,all,Aristida stricta,Control-3-1B,Control,1B,A,190,20,150,2,67,590,22,3.7
