PlantID,Treatment,RootBiomass,Initials ,Notes
Control-1-1A,Control,0.47,NS,
Control-1-1B,Control,0.9,SG,
Control-1-2A,Control,0.54,NS,
Control-1-2B,Control,0.63,NS,
Control-1-3A,Control,3.66,NSa,
Control-1-3B,Control,0.86,NS,
Control-1-4A,Control,1.55,NS,
Control-1-4B,Control,0.88,NK,
Control-1-5A,Control,1.16,NS,
Control-1-5B,Control,1.48,NK,
Control-1-6A,Control,1.03,NS,
Control-1-6B,Control,1.2,NS,
Control-1-7A,Control,0.64,NK,
Control-1-7B,Control,0.92,NK,
Control-1-8A,Control,1.23,NK,
Control-1-8B,Control,1.16,NSa,
Control-2-1A,Control,0.85,NS,
Control-2-1B,Control,0.8,NS,
Control-2-2A,Control,0.87,NK,
Control-2-2B,Control,0.31,NK,
Control-2-3A,Control,1.38,NS,
Control-2-3B,Control,1.74,NS,
Control-2-4A,Control,2.64,NS,
Control-2-4B,Control,1.33,NK,
Control-2-5A,Control,1.6,NK,
Control-2-5B,Control,0.82,NS,
Control-2-6A,Control,0.99,NK,
Control-2-6B,Control,0.82,NK,
Control-2-7A,Control,0.72,NS,
Control-2-7B,Control,0.63,NK,
Control-2-8A,Control,0.38,NK,
Control-2-8B,Control,0.76,NK,
Control-3-1A,Control,0.52,NS,
Control-3-1B,Control,1.04,NS,
Control-3-2A,Control,0.41,NK,
Control-3-2B,Control,0.8,NSa,
Control-3-3A,Control,0.94,NK,
Control-3-3B,Control,0.53,NS,
Control-3-4A,Control,0.52,NS,
Control-3-4B,Control,1.03,NS,
Control-3-5A,Control,1.63,NSa,
Control-3-5B,Control,0.74,NK,
Control-3-6A,Control,0.78,NS,
Control-3-6B,Control,1.01,NS,
Control-3-7A,Control,1.02,NSa,re-weighed 
Control-3-7B,Control,1.2,NS,
Control-3-8A,Control,1.17,SG,
Control-4-1A,Control,0.88,NS,
Control-4-1B,Control,1.47,NS,
Control-4-2A,Control,2.03,NS,
Control-4-2B,Control,0.58,NS,
Control-4-3A,Control,0.51,NS,
Control-4-3B,Control,0.6,NS,
